YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAXI_IN,TAXI_OUT,DISTANCE
2015,2,28,6,UA,325,5.0,7.0,550
2015,10,20,2,WN,603,7.0,11.0,480
2015,10,20,2,AA,1858,14.0,10.0,507
2015,4,30,4,UA,433,7.0,26.0,1075
2015,5,11,1,EV,5915,14.0,13.0,779
2015,12,17,4,WN,472,5.0,9.0,670
2015,12,10,4,AA,1033,4.0,12.0,1192
2015,5,27,3,US,1906,7.0,17.0,808
2015,2,20,5,B6,100,5.0,10.0,2342
2015,10,11,7,MQ,3043,5.0,7.0,510
2015,6,27,6,WN,1384,7.0,8.0,349
2015,11,22,7,AA,651,3.0,9.0,338
2015,11,18,3,EV,5052,3.0,18.0,399
2015,6,2,2,UA,1905,6.0,17.0,862
2015,2,10,2,DL,2457,6.0,18.0,859
2015,11,13,5,HA,223,6.0,12.0,102
2015,1,11,7,EV,5538,5.0,10.0,106
2015,10,16,5,VX,260,9.0,11.0,414
2015,9,13,7,AA,717,6.0,11.0,449
2015,6,8,1,DL,1776,3.0,9.0,1013
2015,7,16,4,WN,3832,4.0,61.0,1259
2015,10,27,2,AA,98,10.0,14.0,868
2015,1,29,4,OO,5405,2.0,19.0,156
2015,9,7,1,UA,436,8.0,12.0,733
2015,12,15,2,DL,1670,3.0,17.0,259
2015,4,17,5,WN,4898,8.0,15.0,601
2015,8,7,5,AS,743,7.0,16.0,599
2015,10,18,7,DL,2809,7.0,33.0,606
2015,11,16,1,UA,224,13.0,14.0,746
2015,11,8,7,AA,1391,5.0,23.0,1121
2015,3,16,1,OO,4986,7.0,10.0,737
2015,10,25,7,MQ,3182,4.0,16.0,223
2015,6,19,5,DL,1175,5.0,14.0,680
2015,12,13,7,WN,1133,7.0,7.0,395
2015,1,13,2,B6,854,6.0,14.0,1046
2015,3,19,4,EV,4557,6.0,11.0,788
2015,4,24,5,UA,1205,13.0,10.0,2504
2015,10,21,3,DL,1187,11.0,20.0,1399
2015,10,24,6,DL,1798,7.0,18.0,746
2015,4,20,1,AA,333,8.0,13.0,1144
2015,1,20,2,OO,4733,3.0,18.0,697
2015,4,11,6,EV,5245,6.0,8.0,377
2015,1,14,3,AS,662,9.0,17.0,1660
2015,10,26,1,EV,4870,5.0,10.0,192
2015,1,7,3,WN,571,6.0,15.0,448
2015,12,24,4,WN,2803,5.0,7.0,1121
2015,1,8,4,DL,1466,6.0,22.0,306
2015,7,1,3,AA,575,2.0,23.0,1788
2015,6,19,5,OO,4665,11.0,17.0,375
2015,11,25,3,EV,4941,7.0,28.0,95
2015,8,7,5,EV,5178,5.0,17.0,532
2015,6,28,7,EV,5081,4.0,18.0,448
2015,11,10,2,WN,1353,3.0,12.0,237
2015,6,10,3,EV,3940,10.0,69.0,794
2015,6,23,2,WN,289,4.0,10.0,1111
2015,8,20,4,MQ,3543,12.0,9.0,164
2015,2,14,6,EV,5689,4.0,42.0,401
2015,9,29,2,MQ,3153,5.0,16.0,102
2015,7,14,2,B6,1433,3.0,16.0,1189
2015,8,29,6,WN,3914,6.0,12.0,271
2015,2,4,3,DL,2413,7.0,10.0,334
2015,1,13,2,OO,4824,8.0,28.0,422
2015,7,23,4,OO,4976,6.0,11.0,262
2015,8,6,4,EV,2699,4.0,18.0,922
2015,4,5,7,OO,2852,11.0,9.0,391
2015,1,17,6,US,660,4.0,17.0,2133
2015,7,5,7,DL,1090,3.0,11.0,1027
2015,9,23,3,WN,213,4.0,7.0,436
2015,1,19,1,MQ,3363,9.0,9.0,539
2015,3,8,7,WN,613,5.0,10.0,337
2015,5,12,2,DL,2366,4.0,23.0,432
2015,4,23,4,OO,4772,2.0,13.0,840
2015,4,1,3,WN,532,6.0,6.0,1107
2015,6,2,2,OO,5168,4.0,20.0,771
2015,5,13,3,AS,81,3.0,24.0,1448
2015,10,17,6,OO,4699,15.0,11.0,489
2015,3,24,2,EV,4489,13.0,16.0,667
2015,8,3,1,WN,1618,4.0,8.0,1903
2015,7,5,7,HA,7,14.0,10.0,2762
2015,11,11,3,WN,320,3.0,7.0,587
2015,3,2,1,F9,184,5.0,9.0,495
2015,12,14,1,AA,1516,14.0,15.0,1143
2015,11,12,4,VX,740,7.0,11.0,679
2015,5,17,7,UA,1694,6.0,30.0,224
2015,7,5,7,DL,1076,9.0,15.0,226
2015,12,11,5,DL,739,8.0,16.0,528
2015,9,18,5,AA,610,11.0,29.0,1587
2015,9,16,3,WN,440,5.0,10.0,386
2015,8,19,3,AA,625,4.0,12.0,1737
2015,10,14,3,OO,6293,4.0,9.0,250
2015,6,18,4,EV,4407,5.0,40.0,223
2015,6,25,4,B6,50,5.0,19.0,901
2015,4,24,5,DL,1400,7.0,9.0,946
2015,2,6,5,WN,4368,3.0,17.0,646
2015,12,5,6,AS,407,8.0,12.0,569
2015,3,30,1,DL,450,6.0,15.0,1990
2015,11,23,1,WN,1628,4.0,14.0,239
2015,11,29,7,F9,524,7.0,35.0,1201
2015,7,29,3,B6,1504,3.0,17.0,1598
2015,5,3,7,WN,151,4.0,7.0,1771
2015,3,9,1,DL,2485,8.0,15.0,2182
2015,2,4,3,DL,2679,8.0,28.0,184
2015,1,2,5,MQ,2860,7.0,22.0,158
2015,7,27,1,AA,386,5.0,15.0,918
2015,4,5,7,UA,1651,7.0,12.0,1514
2015,6,18,4,DL,2485,6.0,15.0,214
2015,6,2,2,DL,437,8.0,10.0,187
2015,12,28,1,AA,1278,29.0,11.0,1205
2015,6,30,2,F9,663,7.0,25.0,967
2015,2,26,4,UA,354,6.0,12.0,602
2015,4,27,1,WN,3410,14.0,11.0,368
2015,5,1,5,WN,178,5.0,11.0,1199
2015,12,29,2,DL,1827,8.0,13.0,581
2015,9,22,2,WN,148,7.0,9.0,762
2015,8,11,2,AS,77,5.0,9.0,571
2015,6,7,7,WN,3832,3.0,22.0,1259
2015,6,3,3,UA,1415,24.0,18.0,2565
2015,7,12,7,B6,299,4.0,34.0,950
2015,11,20,5,AA,565,4.0,19.0,1303
2015,12,26,6,DL,1459,6.0,13.0,1027
2015,6,25,4,B6,584,3.0,10.0,944
2015,11,4,3,UA,531,8.0,27.0,612
2015,11,25,3,UA,616,9.0,10.0,763
2015,11,10,2,UA,575,6.0,14.0,1416
2015,8,9,7,UA,487,4.0,15.0,1208
2015,3,2,1,MQ,3492,5.0,15.0,922
2015,5,1,5,AA,2358,3.0,20.0,1171
2015,8,4,2,AS,626,5.0,7.0,763
2015,10,12,1,AS,407,4.0,12.0,569
2015,1,30,5,AA,197,7.0,13.0,1846
2015,11,1,7,OO,4531,5.0,9.0,531
2015,7,14,2,F9,1134,7.0,10.0,1371
2015,7,21,2,B6,1304,4.0,13.0,1598
2015,4,24,5,AA,2207,9.0,12.0,606
2015,1,30,5,WN,779,4.0,14.0,349
2015,3,11,3,WN,112,5.0,9.0,697
2015,8,26,3,B6,99,4.0,9.0,313
2015,12,22,2,EV,4133,6.0,14.0,160
2015,12,18,5,VX,717,8.0,16.0,1476
2015,11,5,4,DL,1243,11.0,16.0,731
2015,5,7,4,EV,6083,5.0,9.0,416
2015,2,8,7,US,755,8.0,18.0,2402
2015,11,16,1,WN,410,5.0,19.0,895
2015,2,11,3,WN,188,5.0,16.0,651
2015,6,3,3,OO,4855,8.0,14.0,220
2015,7,11,6,WN,2537,18.0,9.0,2039
2015,8,4,2,OO,4662,6.0,18.0,926
2015,9,5,6,WN,5607,12.0,16.0,370
2015,2,8,7,UA,1594,4.0,30.0,2425
2015,4,13,1,EV,4559,5.0,14.0,1008
2015,5,7,4,WN,807,11.0,17.0,1121
2015,2,27,5,WN,1031,9.0,15.0,283
2015,3,20,5,WN,504,5.0,10.0,802
2015,4,28,2,DL,942,2.0,16.0,306
2015,12,11,5,AS,16,4.0,26.0,2554
2015,12,22,2,EV,4291,11.0,17.0,744
2015,10,20,2,B6,1141,3.0,13.0,1133
2015,9,24,4,HA,382,4.0,13.0,216
2015,11,13,5,WN,345,5.0,7.0,838
2015,2,12,4,WN,1561,9.0,10.0,748
2015,6,14,7,B6,1182,4.0,9.0,474
2015,4,12,7,OO,6417,4.0,16.0,130
2015,8,20,4,AA,235,9.0,38.0,187
2015,7,20,1,UA,717,18.0,34.0,2611
2015,7,28,2,B6,1511,9.0,24.0,1068
2015,4,11,6,WN,3586,7.0,4.0,325
2015,2,11,3,OO,6490,20.0,15.0,421
2015,2,9,1,DL,748,4.0,37.0,594
2015,3,13,5,WN,316,3.0,9.0,281
2015,9,16,3,AA,2328,6.0,20.0,1562
2015,5,16,6,OO,4768,3.0,12.0,224
2015,5,9,6,OO,2846,11.0,18.0,308
2015,11,27,5,MQ,3629,2.0,11.0,125
2015,5,15,5,WN,209,6.0,15.0,447
2015,11,16,1,NK,407,8.0,10.0,985
2015,6,18,4,DL,1234,6.0,18.0,271
2015,9,9,3,UA,1714,7.0,13.0,966
2015,7,14,2,OO,4508,7.0,14.0,188
2015,12,21,1,B6,61,13.0,14.0,1674
2015,9,25,5,DL,1240,11.0,11.0,1541
2015,7,6,1,DL,300,8.0,22.0,1010
2015,7,15,3,WN,269,12.0,13.0,577
2015,4,1,3,WN,2778,5.0,9.0,248
2015,2,15,7,UA,219,14.0,28.0,4243
2015,3,7,6,WN,229,3.0,11.0,223
2015,2,11,3,UA,1196,7.0,22.0,867
2015,6,25,4,UA,1551,4.0,10.0,997
2015,8,6,4,WN,3207,4.0,9.0,1057
2015,10,23,5,NK,305,6.0,14.0,2173
2015,11,20,5,WN,1598,6.0,54.0,725
2015,6,30,2,WN,1171,5.0,16.0,528
2015,4,28,2,DL,1153,6.0,13.0,577
2015,12,13,7,UA,719,7.0,15.0,2288
2015,4,9,4,WN,4377,4.0,10.0,304
2015,2,5,4,MQ,3238,4.0,167.0,685
2015,9,21,1,DL,1382,5.0,13.0,1199
2015,6,23,2,MQ,3115,12.0,18.0,296
2015,1,5,1,WN,1333,4.0,15.0,377
2015,2,24,2,UA,1420,4.0,15.0,1068
2015,2,28,6,OO,6397,4.0,11.0,416
2015,12,28,1,DL,807,12.0,19.0,746
2015,6,5,5,AA,1051,4.0,10.0,1464
2015,12,14,1,OO,6264,5.0,20.0,158
2015,12,20,7,DL,1982,8.0,34.0,1096
2015,8,26,3,MQ,3038,4.0,12.0,116
2015,5,27,3,DL,1995,4.0,11.0,528
2015,10,9,5,HA,250,5.0,6.0,84
2015,10,13,2,WN,343,12.0,17.0,2106
2015,7,28,2,WN,4030,4.0,5.0,251
2015,8,27,4,UA,1912,21.0,16.0,1635
2015,12,24,4,B6,445,8.0,13.0,989
2015,7,23,4,OO,4737,5.0,20.0,481
2015,5,11,1,B6,698,6.0,10.0,950
2015,6,3,3,UA,1447,7.0,11.0,680
2015,8,19,3,UA,1645,12.0,15.0,1846
2015,4,13,1,AA,937,11.0,9.0,1217
2015,5,16,6,WN,1769,6.0,11.0,1184
2015,11,23,1,VX,108,7.0,8.0,2288
2015,5,27,3,UA,1539,16.0,11.0,1744
2015,2,14,6,OO,4793,5.0,16.0,370
2015,10,28,3,EV,4614,4.0,13.0,878
2015,2,12,4,DL,1192,11.0,18.0,1005
2015,5,26,2,UA,410,5.0,14.0,1199
2015,11,8,7,EV,5225,9.0,13.0,694
2015,10,23,5,DL,2813,4.0,33.0,2153
2015,4,8,3,EV,4947,7.0,10.0,615
2015,5,27,3,WN,104,4.0,16.0,1246
2015,3,3,2,WN,458,6.0,14.0,692
2015,10,16,5,WN,2625,7.0,10.0,711
2015,6,3,3,WN,2494,7.0,13.0,1218
2015,5,26,2,WN,328,3.0,14.0,735
2015,6,20,6,OO,5547,4.0,19.0,616
2015,10,24,6,OO,5623,8.0,13.0,258
2015,1,26,1,DL,1126,7.0,13.0,373
2015,1,10,6,OO,5541,11.0,14.0,913
2015,1,14,3,US,1909,8.0,11.0,280
2015,4,23,4,AA,1594,9.0,10.0,1067
2015,6,15,1,EV,4497,9.0,16.0,351
2015,6,11,4,WN,3743,6.0,24.0,949
2015,2,2,1,DL,454,5.0,43.0,1623
2015,6,8,1,WN,3210,39.0,9.0,283
2015,3,8,7,WN,817,6.0,9.0,634
2015,5,28,4,AA,2222,10.0,16.0,190
2015,10,30,5,B6,358,6.0,13.0,2465
2015,12,5,6,WN,3616,4.0,10.0,304
2015,10,13,2,AA,2356,7.0,12.0,1846
2015,3,25,3,NK,501,6.0,10.0,1139
2015,9,8,2,UA,1645,4.0,25.0,1846
2015,4,2,4,UA,262,7.0,20.0,1874
2015,5,25,1,UA,1539,20.0,12.0,1744
2015,9,7,1,WN,2187,4.0,9.0,342
2015,4,28,2,OO,5578,14.0,11.0,473
2015,12,7,1,UA,215,7.0,18.0,1024
2015,3,29,7,WN,4929,4.0,8.0,543
2015,12,22,2,AA,2207,10.0,52.0,1464
2015,4,22,3,WN,898,8.0,9.0,853
2015,8,2,7,MQ,3655,4.0,16.0,990
2015,7,4,6,AA,197,12.0,16.0,867
2015,6,11,4,F9,296,5.0,13.0,1506
2015,3,6,5,DL,54,6.0,16.0,689
2015,6,7,7,AS,55,9.0,12.0,261
2015,6,16,2,WN,409,12.0,10.0,2106
2015,8,2,7,UA,1135,6.0,12.0,2419
2015,4,10,5,DL,2464,25.0,11.0,1005
2015,10,26,1,EV,2747,12.0,10.0,327
2015,8,1,6,OO,3007,5.0,36.0,261
2015,6,13,6,WN,1150,5.0,13.0,967
2015,9,13,7,OO,5394,5.0,13.0,412
2015,3,18,3,WN,465,4.0,16.0,365
2015,3,22,7,DL,1443,11.0,10.0,689
2015,9,24,4,DL,1254,8.0,18.0,1947
2015,2,6,5,EV,5673,3.0,12.0,466
2015,10,6,2,EV,2813,7.0,8.0,140
2015,4,9,4,EV,4739,11.0,7.0,376
2015,7,23,4,WN,701,4.0,11.0,516
2015,3,15,7,WN,801,3.0,7.0,255
2015,6,18,4,NK,180,8.0,12.0,1076
2015,11,24,2,OO,5426,5.0,13.0,199
2015,9,4,5,NK,141,13.0,19.0,2329
2015,8,29,6,WN,4492,5.0,7.0,937
2015,12,18,5,AS,119,5.0,18.0,1448
2015,1,9,5,NK,567,10.0,12.0,594
2015,7,8,3,WN,192,3.0,8.0,187
2015,6,22,1,DL,2262,10.0,23.0,2475
2015,10,6,2,WN,2758,5.0,10.0,283
2015,1,9,5,F9,824,5.0,13.0,533
2015,3,29,7,HA,124,5.0,12.0,102
2015,4,7,2,OO,5236,3.0,13.0,84
2015,7,13,1,B6,619,2.0,16.0,2588
2015,10,1,4,OO,4597,5.0,18.0,508
2015,5,12,2,AS,22,13.0,17.0,1721
2015,7,21,2,B6,279,4.0,18.0,231
2015,12,30,3,WN,1133,5.0,10.0,395
2015,4,13,1,HA,255,5.0,5.0,100
2015,12,4,5,WN,1114,6.0,6.0,491
2015,5,26,2,WN,197,3.0,10.0,419
2015,5,2,6,EV,5372,14.0,4.0,241
2015,3,25,3,OO,6205,9.0,24.0,251
2015,4,9,4,AA,1039,25.0,58.0,1182
2015,7,24,5,AA,347,5.0,10.0,675
2015,5,22,5,OO,4795,3.0,16.0,1107
2015,10,18,7,OO,4565,3.0,17.0,866
2015,1,13,2,OO,4494,8.0,18.0,545
2015,5,7,4,MQ,3085,5.0,12.0,177
2015,1,3,6,MQ,3199,7.0,33.0,461
2015,11,6,5,WN,1066,2.0,8.0,304
2015,7,27,1,EV,4516,11.0,9.0,468
2015,10,3,6,DL,1163,14.0,29.0,341
2015,11,28,6,AA,507,11.0,11.0,2300
2015,9,10,4,AA,2347,4.0,8.0,926
2015,6,1,1,AA,1316,8.0,16.0,989
2015,10,18,7,WN,1957,13.0,17.0,328
2015,4,1,3,B6,2,4.0,15.0,1069
2015,8,24,1,OO,6241,5.0,16.0,1384
2015,1,13,2,US,1822,4.0,39.0,453
2015,3,8,7,B6,233,5.0,11.0,266
2015,2,14,6,EV,4581,11.0,33.0,463
2015,9,28,1,B6,162,5.0,20.0,2521
2015,7,29,3,WN,4448,5.0,15.0,1209
2015,3,17,2,WN,4554,2.0,10.0,2253
2015,11,20,5,OO,6222,5.0,12.0,775
2015,3,18,3,DL,1271,17.0,18.0,503
2015,1,15,4,UA,665,3.0,16.0,1023
2015,8,31,1,AA,351,16.0,30.0,224
2015,7,7,2,AS,51,3.0,8.0,725
2015,10,2,5,DL,841,6.0,17.0,931
2015,9,21,1,WN,1090,16.0,11.0,258
2015,9,12,6,EV,5081,41.0,11.0,500
2015,7,29,3,DL,1320,4.0,14.0,214
2015,11,13,5,DL,1432,4.0,15.0,453
2015,11,9,1,AS,2,3.0,13.0,2329
2015,3,11,3,AA,1263,8.0,27.0,1197
2015,5,25,1,B6,729,3.0,14.0,1129
2015,6,20,6,DL,1103,2.0,22.0,1487
2015,5,24,7,AA,1298,5.0,60.0,1205
2015,6,4,4,WN,586,,,358
2015,5,14,4,DL,1198,5.0,22.0,481
2015,10,20,2,WN,3088,7.0,7.0,819
2015,10,18,7,DL,1922,4.0,44.0,1299
2015,11,13,5,EV,5972,10.0,20.0,299
2015,7,24,5,B6,1243,3.0,15.0,444
2015,5,13,3,DL,2271,5.0,13.0,545
2015,2,26,4,UA,372,13.0,16.0,862
2015,3,17,2,NK,972,4.0,10.0,868
2015,5,7,4,EV,3961,4.0,20.0,475
2015,2,15,7,EV,4546,26.0,12.0,585
2015,5,8,5,VX,352,12.0,13.0,2704
2015,11,5,4,WN,449,3.0,11.0,391
2015,3,8,7,AA,2379,13.0,13.0,1061
2015,8,4,2,DL,2825,4.0,11.0,859
2015,7,18,6,HA,257,6.0,11.0,163
2015,10,23,5,UA,1424,4.0,18.0,1303
2015,7,16,4,EV,4621,6.0,22.0,351
2015,4,15,3,OO,5218,6.0,12.0,429
2015,7,13,1,OO,4971,9.0,14.0,744
2015,6,5,5,WN,329,7.0,10.0,496
2015,4,29,3,OO,2747,6.0,19.0,110
2015,6,5,5,DL,486,7.0,20.0,2248
2015,9,3,4,WN,803,4.0,8.0,459
2015,9,15,2,DL,2567,4.0,17.0,782
2015,9,8,2,DL,1480,6.0,20.0,549
2015,10,3,6,AA,199,9.0,16.0,187
2015,7,16,4,DL,2122,6.0,8.0,549
2015,9,7,1,DL,1454,8.0,14.0,1947
2015,9,8,2,AA,1373,7.0,16.0,918
2015,12,20,7,WN,1438,11.0,20.0,370
2015,10,3,6,WN,4988,4.0,13.0,426
2015,9,14,1,OO,5172,4.0,16.0,77
2015,2,12,4,WN,1722,4.0,9.0,407
2015,10,9,5,WN,368,11.0,11.0,763
2015,2,24,2,EV,6023,3.0,12.0,864
2015,10,4,7,EV,4923,9.0,11.0,456
2015,9,7,1,WN,1532,5.0,6.0,971
2015,7,8,3,AA,2247,11.0,10.0,868
2015,10,22,4,MQ,3143,16.0,22.0,316
2015,11,13,5,B6,2616,3.0,16.0,319
2015,1,23,5,OO,2577,16.0,13.0,748
2015,4,3,5,WN,391,4.0,22.0,1050
2015,6,11,4,EV,3925,6.0,13.0,253
2015,10,18,7,OO,5326,6.0,16.0,363
2015,9,15,2,AA,573,4.0,29.0,1044
2015,2,27,5,UA,401,15.0,40.0,641
2015,2,8,7,DL,2209,15.0,16.0,1589
2015,5,29,5,EV,6040,13.0,20.0,429
2015,12,30,3,EV,4666,47.0,30.0,240
2015,2,2,1,DL,1245,8.0,31.0,1013
2015,5,5,2,WN,2699,9.0,10.0,872
2015,12,4,5,WN,263,8.0,10.0,1390
2015,9,24,4,EV,4636,4.0,16.0,310
2015,8,26,3,NK,904,6.0,14.0,985
2015,10,22,4,AA,858,10.0,9.0,328
2015,10,5,1,DL,160,4.0,14.0,680
2015,12,25,5,AA,1825,4.0,30.0,1325
2015,10,4,7,DL,982,8.0,15.0,936
2015,7,19,7,EV,4296,7.0,16.0,542
2015,12,31,4,WN,3436,3.0,7.0,1099
2015,2,26,4,WN,1517,5.0,8.0,287
2015,10,19,1,UA,948,8.0,19.0,967
2015,3,22,7,WN,1977,7.0,9.0,534
2015,4,10,5,B6,515,2.0,19.0,395
2015,10,27,2,WN,1958,12.0,8.0,386
2015,8,24,1,UA,326,7.0,11.0,1608
2015,2,27,5,WN,4284,4.0,11.0,471
2015,4,23,4,OO,2886,5.0,28.0,209
2015,11,5,4,WN,431,4.0,13.0,296
2015,8,9,7,AA,287,17.0,11.0,1045
2015,4,8,3,OO,6257,14.0,13.0,334
2015,9,28,1,WN,114,10.0,11.0,1390
2015,8,8,6,UA,1972,8.0,15.0,628
2015,8,21,5,UA,724,5.0,19.0,2398
2015,3,14,6,UA,491,7.0,13.0,641
2015,1,12,1,US,2091,11.0,12.0,936
2015,8,12,3,WN,2060,4.0,10.0,1670
2015,12,22,2,WN,381,4.0,19.0,639
2015,5,19,2,US,1866,5.0,14.0,449
2015,4,18,6,EV,5671,6.0,20.0,127
2015,2,10,2,MQ,2973,10.0,25.0,931
2015,7,9,4,AS,487,8.0,14.0,1050
2015,10,20,2,DL,2279,5.0,16.0,1576
2015,4,27,1,EV,2525,32.0,10.0,383
2015,2,16,1,UA,1076,5.0,23.0,1182
2015,9,10,4,EV,4652,11.0,11.0,438
2015,7,21,2,AA,2413,5.0,25.0,1440
2015,1,7,3,AA,5,3.0,15.0,3784
2015,7,8,3,MQ,3550,3.0,15.0,549
2015,5,7,4,EV,4125,9.0,11.0,177
2015,2,18,3,WN,896,3.0,11.0,223
2015,3,20,5,DL,333,5.0,17.0,373
2015,11,5,4,DL,1484,4.0,9.0,1175
2015,1,25,7,WN,1687,12.0,8.0,304
2015,7,12,7,NK,867,8.0,14.0,1235
2015,1,13,2,WN,1225,4.0,10.0,883
2015,11,22,7,WN,412,5.0,7.0,612
2015,10,11,7,WN,929,21.0,8.0,377
2015,5,15,5,WN,639,5.0,6.0,1797
2015,2,5,4,MQ,3669,6.0,13.0,409
2015,8,16,7,HA,15,10.0,16.0,2614
2015,12,29,2,OO,5618,8.0,11.0,420
2015,11,15,7,DL,2599,8.0,15.0,214
2015,12,7,1,UA,533,21.0,20.0,1199
2015,6,1,1,EV,4993,3.0,32.0,147
2015,1,9,5,US,460,7.0,18.0,1488
2015,2,16,1,NK,403,5.0,13.0,581
2015,5,21,4,DL,1370,6.0,16.0,749
2015,6,24,3,AA,1432,14.0,20.0,460
2015,1,20,2,OO,4825,16.0,12.0,308
2015,6,6,6,UA,257,16.0,40.0,1744
2015,12,31,4,B6,682,3.0,11.0,892
2015,6,27,6,WN,1237,6.0,14.0,1242
2015,10,6,2,AA,408,5.0,20.0,1009
2015,1,23,5,MQ,3677,4.0,15.0,409
2015,5,10,7,NK,119,8.0,17.0,1119
2015,10,31,6,AA,21,5.0,23.0,2475
2015,9,24,4,WN,348,4.0,8.0,405
2015,9,19,6,WN,996,9.0,14.0,590
2015,7,13,1,DL,1849,8.0,14.0,500
2015,5,10,7,WN,3,6.0,7.0,883
2015,2,24,2,WN,2611,8.0,5.0,447
2015,8,12,3,AA,2300,2.0,22.0,1192
2015,2,25,3,AA,281,,,1121
2015,11,25,3,WN,2251,4.0,11.0,308
2015,4,24,5,DL,1067,5.0,15.0,1953
2015,12,14,1,OO,4692,6.0,43.0,1086
2015,10,13,2,EV,6037,5.0,13.0,517
2015,2,26,4,WN,4379,5.0,11.0,2039
2015,10,14,3,AA,2356,4.0,18.0,1846
2015,1,27,2,DL,1120,,,549
2015,10,8,4,NK,254,14.0,17.0,1562
2015,12,5,6,VX,774,5.0,15.0,1067
2015,12,19,6,DL,2289,11.0,14.0,853
2015,5,21,4,EV,4445,10.0,18.0,246
2015,4,26,7,WN,956,5.0,10.0,919
2015,9,27,7,DL,1875,2.0,19.0,1010
2015,9,14,1,WN,2887,4.0,7.0,302
2015,7,30,4,WN,3952,3.0,11.0,580
2015,4,27,1,UA,788,4.0,31.0,337
2015,5,13,3,MQ,3084,6.0,21.0,234
2015,12,23,3,B6,1347,5.0,27.0,1554
2015,2,9,1,US,738,,,280
2015,5,5,2,EV,5424,4.0,16.0,750
2015,2,13,5,EV,3271,,15.0,419
2015,5,2,6,UA,1204,11.0,11.0,1635
2015,2,11,3,AS,659,6.0,14.0,1009
2015,12,8,2,DL,1174,4.0,39.0,1035
2015,11,8,7,OO,4693,5.0,15.0,1069
2015,7,16,4,DL,2109,9.0,10.0,1919
2015,10,31,6,DL,1535,7.0,18.0,432
2015,4,15,3,DL,2063,4.0,38.0,931
2015,7,7,2,UA,497,5.0,12.0,2565
2015,5,21,4,AA,2309,12.0,17.0,802
2015,7,11,6,EV,5197,3.0,24.0,83
2015,9,4,5,EV,5175,5.0,19.0,694
2015,4,15,3,AA,2351,6.0,17.0,1089
2015,3,30,1,EV,5192,3.0,14.0,633
2015,8,21,5,AS,655,3.0,22.0,1616
2015,3,18,3,DL,1309,8.0,14.0,813
2015,1,12,1,OO,4843,5.0,16.0,541
2015,1,2,5,OO,4604,6.0,11.0,596
2015,5,26,2,B6,5,8.0,19.0,1065
2015,6,23,2,WN,2252,5.0,10.0,1067
2015,2,25,3,WN,762,8.0,10.0,725
2015,8,30,7,EV,4986,4.0,16.0,780
2015,8,14,5,F9,1137,8.0,14.0,1090
